2024-05-07 21:43:19:0145	../../../files/testListWithPickListSize050.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
4	0	150	200	0.9	0.005	PMX	Swap	1341.164	5.787
4	0	150	200	0.9	0.05	PMX	Swap	1156.312	7.545
4	0	150	200	0.9	0.1	PMX	Swap	1238.156	6.249
5	0	50	50	0.6	0.005	PMX	Swap	1931.288	0.092
5	0	50	50	0.6	0.05	PMX	Swap	1439.136	0.932
5	0	50	50	0.6	0.1	PMX	Swap	1448.7	0.889
5	0	50	50	0.9	0.005	PMX	Swap	1789.652	0.26
5	0	50	50	0.9	0.05	PMX	Swap	1303.348	1.295
5	0	50	50	0.9	0.1	PMX	Swap	1346.404	0.979
5	0	50	100	0.6	0.005	PMX	Swap	1742.22	0.365
5	0	50	100	0.6	0.05	PMX	Swap	1362.56	0.93
5	0	50	100	0.6	0.1	PMX	Swap	1292.632	1.204
5	0	50	100	0.9	0.005	PMX	Swap	1648.08	0.368
5	0	50	100	0.9	0.05	PMX	Swap	1338.288	1.823
5	0	50	100	0.9	0.1	PMX	Swap	1219.348	2.455
5	0	50	200	0.6	0.005	PMX	Swap	1584.636	2.022
5	0	50	200	0.6	0.05	PMX	Swap	1205.504	2.947
5	0	50	200	0.6	0.1	PMX	Swap	1161.44	3.416
5	0	50	200	0.9	0.005	PMX	Swap	1511.528	0.969
5	0	50	200	0.9	0.05	PMX	Swap	1192.864	4.173
5	0	50	200	0.9	0.1	PMX	Swap	1230.468	3.461
5	0	150	50	0.6	0.005	PMX	Swap	1813.804	0.746
5	0	150	50	0.6	0.05	PMX	Swap	1321.864	1.749
5	0	150	50	0.6	0.1	PMX	Swap	1188.452	1.877
5	0	150	50	0.9	0.005	PMX	Swap	1748.112	1.101
5	0	150	50	0.9	0.05	PMX	Swap	1348.476	2.444
5	0	150	50	0.9	0.1	PMX	Swap	1188.6	1.902
5	0	150	100	0.6	0.005	PMX	Swap	1576.296	2.655
5	0	150	100	0.6	0.05	PMX	Swap	1249.528	4.018
5	0	150	100	0.6	0.1	PMX	Swap	1210.72	2.943
5	0	150	100	0.9	0.005	PMX	Swap	1545.052	1.812
5	0	150	100	0.9	0.05	PMX	Swap	1161.732	4.118
5	0	150	100	0.9	0.1	PMX	Swap	1135.66	4.629
5	0	150	200	0.6	0.005	PMX	Swap	1399.64	5.552
5	0	150	200	0.6	0.05	PMX	Swap	1166.088	6.067
5	0	150	200	0.6	0.1	PMX	Swap	1166.708	4.598
5	0	150	200	0.9	0.005	PMX	Swap	1279.656	15.905
5	0	150	200	0.9	0.05	PMX	Swap	1168.008	5.902
5	0	150	200	0.9	0.1	PMX	Swap	1149.24	12.101

